City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Vaini,TO,-21.2,-175.2,78.96,78,20,14.97,few clouds
80,Salihorsk,BY,52.7876,27.5415,32.99,82,45,4.21,scattered clouds
81,Kuching,MY,1.55,110.3333,77.22,94,20,3.44,few clouds
82,Norman Wells,CA,65.282,-126.8329,24.84,93,90,4.61,overcast clouds
83,Belle Fourche,US,44.6714,-103.8522,57.85,53,6,8.43,clear sky
84,Miyako,JP,39.6367,141.9525,59.29,56,3,1.5,clear sky
85,Upernavik,GL,72.7868,-56.1549,15.12,67,73,8.05,broken clouds
86,Khasan,RU,42.4308,130.6434,50.2,50,0,4.07,clear sky
87,Fortuna,US,40.5982,-124.1573,58.12,79,1,12.66,clear sky
88,Faanui,PF,-16.4833,-151.75,75.61,88,100,12.71,moderate rain
89,Karakol,KG,42.4907,78.3936,31.84,47,0,3.6,clear sky
90,Deputatskiy,RU,69.3,139.9,2.53,96,100,0.94,overcast clouds
91,Segovia,ES,41.1667,-4.0,46.44,42,1,4.16,clear sky
92,Svetlogorsk,BY,52.6333,29.7333,31.39,85,42,4.85,scattered clouds
93,Vryburg,ZA,-26.9566,24.7284,56.21,29,0,7.31,clear sky
94,Ukiah,US,39.1502,-123.2078,57.13,94,90,9.22,moderate rain
95,Batemans Bay,AU,-35.7167,150.1833,64.09,55,93,3.8,overcast clouds
96,Santiago,CL,-33.4569,-70.6483,80.04,20,0,4.61,clear sky
97,Walvis Bay,NA,-22.9575,14.5053,59.09,88,0,8.05,clear sky
98,Bambous Virieux,MU,-20.3428,57.7575,74.21,78,40,11.5,light rain
99,Banda Aceh,ID,5.5577,95.3222,79.11,80,98,6.6,overcast clouds
100,Pevek,RU,69.7008,170.3133,7.57,92,100,4.52,overcast clouds
101,Longyearbyen,SJ,78.2186,15.6401,19.24,79,75,5.75,broken clouds
102,Kapaa,US,22.0752,-159.319,84.18,74,20,3.0,few clouds
103,Madimba,TZ,-10.4,40.3333,76.08,90,17,7.14,light rain
104,Hamilton,US,39.1834,-84.5333,71.78,87,1,1.01,clear sky
